user_id,signup_date,event_date,feature_name,plan,region
1,2024-01-01,2024-01-02,Search,Free,US
1,2024-01-01,2024-01-03,Dashboard,Free,US
2,2024-01-02,2024-01-03,Search,Pro,US
2,2024-01-02,2024-01-04,Upload,Pro,US
3,2024-01-03,2024-01-04,Search,Free,Canada
3,2024-01-03,2024-01-05,Dashboard,Free,Canada
4,2024-01-04,2024-01-05,Upload,Pro,US
4,2024-01-04,2024-01-06,Search,Pro,US
5,2024-01-05,2024-01-06,Dashboard,Enterprise,UK
5,2024-01-05,2024-01-07,Search,Enterprise,UK
6,2024-01-06,2024-01-07,Upload,Free,US
6,2024-01-06,2024-01-08,Search,Free,US
7,2024-01-07,2024-01-08,Dashboard,Pro,Canada
7,2024-01-07,2024-01-09,Upload,Pro,Canada
8,2024-01-08,2024-01-09,Search,Enterprise,US
8,2024-01-08,2024-01-10,Dashboard,Enterprise,US
